,quarrel_apology,ignoring_diffs_skill,revision_skill,contact_calms_down,enjoys_time_spent,no_time_as_partners,like_two_strangers,enjoys_hdays_w_wife,enjoys_trav_w_wife,most_goals_common,mutual_harmony,simil_pers_freedom_view,simil_entertainment,simil_goals,simil_harmony_dreams,simil_thoughts_of_love,simil_happy_view,simil_marriage_view,simil_roles_view,simil_trust_view,knows_she_likes,how_caring_when_sick,knows_fav_food,knows_stress_kind,knows_inner_world,knows_basic_anx,knows_curr_stress_src,knows_hopes_wishes,knows_h_well,knows_h_friends,aggres_when_arguing,says_u_always_never,uses_neg_pers_statems,uses_offens_expr,insults_when_arguing,humiliates_when_discuss,not_calm_discussion,hates_way_h_open_subj,sudden_discussions,DONT_KNOW,not_calm_when_discuss,retreats_from_discuss,silent_to_calm_env,leaves_home_faw,silence_in_argue,silent_not_to_hurt,silent_to_ctrl_anger,feels_right_when_discuss,feels_innocently_accused,feels_innocent,not_guilty_ab_problems,tells_h_ab_inadequacy,reminds_ab_inadequacy,tells_ab_h_incompetance,Class
118,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,1.0,0.25,0.25,1.0,1.0,0.5,0.5,0.0,0.25,0.0
119,0.0,0.25,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.25,0.25,0.25,0.0,0.0
120,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.25,0.25,0.0,0.0,1.0,0.5,0.0,0.25,0.5,0.25,0.75,0.25,0.25,0.25,0.25,0.25,0.0,0.0
121,0.0,0.5,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.25,0.25,0.0,0.75,0.0,0.0
122,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.5,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.25,0.5,0.25,0.75,0.75,0.5,0.5,0.5,0.5,0.0,0.0
123,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.75,0.0,0.5,0.75,1.0,0.75,0.75,0.0,0.5,0.0
124,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.75,0.0,0.25,0.5,0.5,0.5,0.0,0.0
125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.5,0.25,0.5,0.5,1.0,0.5,1.0,0.0,0.0,0.0,0.25,0.25,0.5,0.25,0.0,0.5,0.0
126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.5,0.25,0.5,0.5,1.0,0.5,1.0,0.0,0.0,0.0,0.25,0.25,0.5,0.25,0.0,0.5,0.0
127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.75,0.5,0.25,0.75,0.75,0.0,0.5,0.75,0.5,0.5,1.0,0.25,0.25,0.0
128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.75,0.0,0.0,1.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.0
129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.25,1.0,0.5,0.75,0.5,0.5,0.0,0.0,0.0,0.0
130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.25,0.0,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.25,0.0,0.0
131,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.25,0.0,0.0,0.5,0.25,0.5,0.5,0.25,0.5,0.5,0.0,0.25,0.75,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
132,0.0,0.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,1.0,0.0,0.25,0.25,0.5,0.75,0.0,0.25,0.25,0.0,0.0,0.0,0.0
133,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.25,0.0,0.0
134,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.75,0.0,0.75,0.75,0.75,0.5,0.5,0.0
135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.75,0.5,0.25,0.5,0.5,0.25,0.5,0.75,0.5,0.5,0.75,0.25,0.25,0.0
136,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.5,0.75,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.25,0.5,0.25,0.5,0.25,0.5,0.5,0.0,0.0
137,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.75,0.75,0.75,0.75,0.0,0.25,0.75,0.75,0.75,0.25,0.0
138,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.75,0.75,0.75,0.75,0.0,0.25,0.75,0.75,0.75,0.25,0.0
139,0.75,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.25,0.25,0.25,0.0,0.75,0.75,0.5,0.5,0.0,0.5,0.5,0.0,0.0,1.0,0.0
140,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.5,0.0,0.25,0.5,0.75,0.0,0.25,0.25,0.5,0.5,0.25,0.0,0.25,0.75,0.5,0.5,0.0
141,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.5,0.25,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.0,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.0
142,1.0,0.75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
143,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.5,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.75,0.5,1.0,1.0,0.0,0.25,0.0,0.0,0.25,1.0,0.25,0.0,0.0
144,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.75,0.0,0.75,0.5,0.0,0.5,1.0,0.0,0.0,0.25,0.0,0.0,0.0
145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.0,0.25,0.75,1.0,0.0,1.0,0.75,1.0,0.75,0.25,0.75,0.75,0.0,0.25,0.0,0.0
146,0.5,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.25,0.0,0.5,0.25,0.5,0.25,0.75,0.25,0.75,0.25,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.5,0.5,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.5,0.0,0.25,0.75,0.5,0.0,0.25,0.75,0.75,0.5,0.5,0.25,0.25,0.5,0.0,0.0,0.0
149,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0
150,0.0,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.75,0.25,0.25,0.25,0.5,0.0,0.25,0.0
151,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.0,0.25,0.75,0.25,0.5,0.25,0.5,0.5,0.5,0.5,0.25,0.0
152,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.25,0.0,0.5,0.25,0.5,0.25,0.5,0.5,1.0,0.5,0.0,0.0
153,0.5,0.5,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
154,0.25,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0,0.0,0.5,0.25,0.5,0.5,0.5,0.5,0.75,0.0
155,0.5,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.75,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.0
156,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.5,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.5,0.25,0.0,0.5,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.5,0.5,0.0,0.0,0.5,0.25,0.5,0.25,0.5,0.5,0.25,0.0,0.0,0.0
157,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.25,0.0,0.25,0.75,0.75,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.0
158,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.5,0.25,0.0,0.5,0.5,0.5,0.25,0.0,0.25,0.75,0.5,0.5,0.5,0.25,0.0,0.0,0.0
159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.5,0.25,0.25,0.75,0.5,0.0,0.5,0.25,0.5,0.75,0.5,0.5,0.5,0.25,0.25,0.0,0.0
160,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.25,0.25,0.0,0.25,0.25,0.0,0.5,0.25,0.0,0.0,0.75,0.5,0.5,0.25,0.25,0.25,0.25,0.5,0.25,0.0
161,0.25,0.25,0.5,0.0,0.5,0.25,0.0,0.5,0.25,0.5,0.25,0.25,0.5,0.0,0.5,0.25,0.5,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.25,0.5,0.5,0.0,0.25,0.25,0.0
162,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.0
163,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.25,0.0,0.5,0.5,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.25,0.0,0.0,0.5,0.5,0.25,0.5,0.75,0.0,0.5,0.0,0.0,0.5,0.25,0.0,0.0,0.0
164,0.5,0.25,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.5,0.0,0.25,0.0,0.75,0.25,0.25,0.75,0.25,0.25,0.25,0.0
165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.75,1.0,0.0,0.0,1.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.25,0.25,1.0,0.5,0.5,0.5,0.0
166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.75,0.25,0.75,1.0,0.25,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.0
167,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.25,0.25,0.25,0.5,0.25,0.75,0.75,0.0,0.5,0.75,0.0,0.5,0.0,0.25,0.25,0.75,0.0,0.0,0.0
168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,1.0,0.25,0.5,0.25,0.25,0.0,1.0,0.75,0.75,0.5,0.5,0.75,0.5,1.0,0.75,0.25,0.0
169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.25,0.75,1.0,1.0,0.0,0.25,0.75,0.75,0.75,0.25,0.0
